NodeID,ParentID,x,y,z,thickness
5417,5416,-0.315826,1.00941,-0.165825,0.002
516,500,-0.0628261,1.06837,0.230365,0.0103923
1452,1436,-0.0372703,1.04442,0.149219,0.00489898
13038,13037,-0.00178252,1.03481,0.102203,0.004
227,220,-0.301638,1.0636,-0.168649,0.0183303
1019,992,-0.345219,1.02832,-0.157134,0.00632456
404,385,-0.450728,0.954116,-0.124441,0.00489898
492,385,-0.450728,0.954116,-0.124441,0.0123288
12419,12418,-0.441476,0.917864,-0.156466,0.002
734,715,-0.359451,0.951639,-0.0976444,0.006
2140,715,-0.359451,0.951639,-0.0976444,0.0052915
448,435,-0.360174,0.97812,-0.0675669,0.00894427
814,792,-0.448402,0.954451,-0.104334,0.006
483,468,-0.37723,0.869547,-0.253444,0.00938083
461,449,-0.17636,1.00315,-0.35823,0.0069282
4924,449,-0.17636,1.00315,-0.35823,0.002
2069,2044,-0.11021,0.995001,-0.300571,0.00663325
1782,1760,-0.0694005,0.916099,-0.432634,0.0052915
14443,14442,-0.24217,0.995467,-0.170982,0.002
14297,14159,-0.414753,0.911595,-0.247152,0.002
159,153,-0.15308,0.924738,-0.479234,0.014
5355,5300,-0.161787,0.924706,-0.449615,0.00447214
695,674,-0.142065,0.85548,-0.521207,0.00632456
339,323,-0.0464228,0.903247,-0.466775,0.0185472
21145,21144,-0.0020285,0.853145,-0.412184,0.002
384,361,-0.311778,0.808271,-0.426388,0.008
242,234,-0.275515,0.880523,-0.435354,0.0111355
573,555,-0.321087,0.815408,-0.445193,0.00632456
334,316,-0.381896,0.661966,-0.28946,0.0103923
694,662,-0.374586,0.640034,-0.311687,0.0052915
840,815,-0.318468,0.730581,-0.222563,0.00282843
958,932,-0.328854,0.772145,-0.354686,0.00824621
429,412,0.179623,0.846175,-0.487267,0.0134164
661,646,0.105172,0.818144,-0.47772,0.00565685
2279,2258,0.123982,0.90222,-0.362278,0.00565685
3441,3416,0.134885,0.892981,-0.390755,0.00632456
8429,8369,0.297631,0.853653,-0.269031,0.00282843
40,39,-0.331897,1.09986,0.00237515,0.0307896
8702,8701,-0.244913,1.03682,0.102705,0.00282843
20738,20737,-0.405972,0.981722,-0.0198477,0.002
915,896,-0.413995,0.994787,-0.117003,0.006
12527,12526,-0.386857,0.958909,0.064594,0.00282843
158,152,-0.160377,1.09773,0.181922,0.0142829
5030,4967,-0.198649,1.08044,0.0837881,0.0069282
6048,5986,-0.192635,1.06113,0.0691906,0.002
491,479,-0.21047,1.11687,-0.167743,0.00894427
14024,14023,-0.255082,1.08271,-0.0259312,0.002
5457,5417,-0.340959,1.02151,-0.176869,0.002
535,516,-0.0646713,1.09829,0.231462,0.0103923
1465,1452,-0.03159,1.06719,0.130534,0.00489898
13143,13038,0.011445,1.05592,0.0854868,0.004
231,227,-0.307758,1.09053,-0.180348,0.0183303
1041,1019,-0.372097,1.04024,-0.163098,0.00632456
428,404,-0.462764,0.978877,-0.136359,0.00489898
515,492,-0.451147,0.956202,-0.154365,0.0123288
12523,12419,-0.451402,0.932578,-0.180652,0.002
757,734,-0.342684,0.976423,-0.0955015,0.006
2186,2140,-0.332526,0.940079,-0.0912127,0.0052915
460,448,-0.35747,1.00786,-0.0647456,0.00489898
534,448,-0.35747,1.00786,-0.0647456,0.00748332
839,814,-0.468336,0.975335,-0.112489,0.006
499,483,-0.386191,0.890854,-0.272569,0.00938083
478,461,-0.182795,1.03098,-0.367391,0.0069282
4965,4924,-0.199458,1.01496,-0.34316,0.002
2080,2069,-0.0932015,1.01889,-0.29424,0.00663325
1797,1782,-0.057151,0.936016,-0.45143,0.0052915
14584,14443,-0.251715,1.02364,-0.16709,0.002
14298,14297,-0.430822,0.935874,-0.254389,0.002
164,159,-0.147713,0.94864,-0.496551,0.014
5414,5355,-0.165976,0.950847,-0.435504,0.00447214
714,695,-0.139837,0.860577,-0.550687,0.00632456
356,339,-0.0367957,0.928015,-0.480699,0.0185472
403,384,-0.340436,0.812823,-0.434003,0.008
256,242,-0.285867,0.907562,-0.443212,0.0111355
592,573,-0.346522,0.82686,-0.456234,0.00632456
352,334,-0.409928,0.672319,-0.286805,0.0103923
713,694,-0.395402,0.63281,-0.332047,0.0052915
861,840,-0.335675,0.749749,-0.207184,0.00282843
981,958,-0.343269,0.79816,-0.358616,0.00824621
441,429,0.184929,0.865339,-0.509731,0.0134164
682,661,0.0876637,0.828945,-0.499556,0.00565685
2304,2279,0.118066,0.9315,-0.359513,0.00565685
